Title,Author
The Vorrh,Brian Catling
Night Thoughts,Wallace Shawn
The Erstwhile,Brian Catling
The Sunken Land Begins To Rise Again,M. John Harrison
"The Golden Spruce: A True Story of Myth, Madness, and Greed",John Vaillant
Shadows on the Koyukuk: An Alaskan Native’s Life Along the River,Sidney Huntington
Me & Other Writing,Marguerite Duras
Terminal Boredom,Izumi Suzuki
Pretentiousness: Why It Matters,Dan Fox
Girls Against God,Jenny Hval
Super-Cannes,J. G. Ballard
The Taiga Syndrome,Cristina Rivera Garza
Inhabiting the Negative Space,Jenny Odell
Mumbai New York Scranton,Tamara Shopsin
Photo No-Nos: Meditations on What Not to Photograph,Jason Fulford
Vertigo,Joanna Walsh
Finding the Mother Tree,Suzanne Simard
How to Make Sense of Any Mess,Abby Covert
Zen Camera,David Ulrich
Cosmicomics,Italo Calvino
LaserWriter II,Tamara Shopsin
Drifts,Kate Zambreno
Houses of Ravicka,Renee Gladman
Understanding a Photograph,John Berger
Writings on Photography and Photographers,Henri Cartier-Bresson
Waterlog: A Swimmer’s Journey through Britain,Roger Deakin
"Burning Down the Haus: Punk Rock, Revolution, and the Fall of the Berlin Wall",Tim Mohr
One Human Minute,Stanislaw Lem
Swimming in the Sink,Lynne Cox
Blue Velvet,Michael Atkinson
The Lucky Strike,Kim Stanley Robinson
The Wild Girls,Ursula K. Le Guin
